,past_12_months$member_casual,past_12_months$day_of_week,past_12_months$ride_length,
1,casual,1,30545.97047,509.0995079
2,member,1,29941.86115,499.0310191
3,casual,2,30311.81471,505.1969118
4,member,2,29829.98192,497.1663653
5,casual,3,30176.19115,502.9365192
6,member,3,29830.58929,497.1764882
7,casual,4,30204.39076,503.4065126
8,member,4,29841.04308,497.350718
9,casual,5,30197.32928,503.2888213
10,member,5,29834.84191,497.2473652
11,casual,6,30306.59539,505.1099231
12,member,6,29846.37428,497.4395714
13,casual,7,30522.75433,508.7125722
14,member,7,29941.54777,499.0257962
